country_id,IMPORTANCE,REQ_SUCCESS_RATE,DIVINE_REQ_SUCCESS_RATE,REQ_SUCCESS,SCALER_REQ_SUCCESS_DRIFT,REQ_SUM,SCALER_REQ_SUM_DRIFT,DIVINE_REQ_SUCCESS,DIVINE_REQ_SUM,REQ_SUCCESS_RATE_DRIFT,REQ_SUCCESS_RATE_DRIFT_FLAG,COUNT,WARN_TIME,IS_REAL_ALARM
10,99,92.43,96.79,70340.0,0.26427352124241443,76098.0,0.1690496102220429,59009.0,61824.0,4.36,0.0,1,0,1
12,99,98.67,97.92,20937.0,0.24092705729251387,21219.0,0.14660037732188405,18913.0,19315.0,0.75,1.0,1,0,0
10,99,90.49,96.79,75500.0,0.20131880557064769,83434.0,0.12593500569354427,78417.0,85417.0,6.3,0.0,1,14,1
20,99,87.16,83.39,20036.0,0.2254174328603517,22988.0,0.1307496364895762,19072.0,22870.0,3.77,1.0,3,0,0
12,99,99.16,95.84,19928.0,0.2340038733947733,20097.0,0.137607263679202,18421.0,19221.0,3.32,1.0,3,0,0
13,97,98.61,96.29,22739.0,0.32406752225251484,23060.0,0.19376673565769736,16130.0,16752.0,2.32,1.0,3,1,0
20,99,86.94,83.65,22017.0,0.2076006953273602,25324.0,0.1211056103326349,22337.0,26704.0,3.29,1.0,2,0,0
12,99,99.12,95.49,30412.0,0.22280775203529035,30682.0,0.13036222502364164,29213.0,30594.0,3.63,1.0,2,0,0
1,96,87.32,94.08,10090.0,0.21208077249520882,11555.0,0.13495588349323168,10070.0,11219.0,6.76,0.0,1,5,1
10,99,94.81,99.97,46318.0,0.11554775209955674,48853.0,0.07658432660346803,71203.0,71221.0,5.16,0.0,1,2,1
25,98,91.39,98.79,22628.0,0.1907157561012101,24761.0,0.12972354269698486,24484.0,24783.0,7.4,0.0,5,0,1
10,99,93.76,98.92,87521.0,0.19263228321366724,93350.0,0.1268920352840876,93990.0,95020.0,5.16,0.0,5,0,1
21,98,94.85,99.06,226529.0,0.16849380292146596,238817.0,0.10962732197322538,268627.0,271175.0,4.21,0.0,5,0,1
7,100,94.4,97.57,217504.0,0.19880342390513317,230398.0,0.12743238178554542,228077.0,233762.0,3.17,0.0,5,0,1
13,97,92.91,98.11,13836.0,0.20723660270540498,14892.0,0.13656559017882783,14056.0,14327.0,5.2,0.0,5,0,0
12,99,98.75,98.7,20396.0,0.24661411627864221,20654.0,0.15144967160649167,18086.0,18324.0,0.05,1.0,1,1,0
20,99,92.57,90.05,9541.0,0.2913807111890211,10307.0,0.17323928726061028,7392.0,8209.0,2.52,1.0,1,1,0
10,99,83.78,96.79,56775.0,0.21294047788900636,67770.0,0.12299653323543153,56486.0,70633.0,13.01,0.0,1,5,1
26,97,97.34,98.42,23755.0,0.020312840800630342,24404.0,0.01230956432449829,78205.0,79458.0,1.08,0.0,1,3,1
10,99,91.42,96.79,77107.0,0.20877087418515414,84341.0,0.12845177200907232,77891.0,85054.0,5.37,0.0,1,15,1
9,92,94.8,97.47,2317.0,0.15437183741327698,2444.0,0.09833509972402474,2926.0,3002.0,2.67,0.0,1,5,1
12,99,74.44,94.88,6285.0,0.20261432832084325,8443.0,0.12471056440452619,6496.0,8708.0,20.44,0.0,3,12,1
21,98,90.85,96.09,189140.0,0.20578598873141526,208193.0,0.12654860570924722,193184.0,212355.0,5.24,0.0,3,12,1
13,97,79.77,90.44,5360.0,0.19127014149600557,6719.0,0.1203628587537027,5787.0,7118.0,10.67,0.0,3,12,1
19,89,88.19,96.5,1090.0,0.2655000473282599,1236.0,0.1823592858121581,911.0,944.0,8.31,0.0,1,0,1
10,99,93.61,96.79,87610.0,0.21544288771785347,93587.0,0.13310558157596047,86381.0,91838.0,3.18,0.0,1,1,1
4,95,78.5,99.4,10627.0,0.1990995489281765,13537.0,0.16531591104868146,11131.0,11198.0,20.9,0.0,1,0,1
7,100,98.04,97.49,406671.0,0.2566724009530988,414807.0,0.156657963796818,349270.0,358256.0,0.55,1.0,1,6,1
26,97,96.53,95.99,31009.0,0.037233593745704056,32125.0,0.02137910502354533,84872.0,89092.0,0.54,1.0,1,0,1
1,96,79.46,94.08,7619.0,0.2002659367095111,9588.0,0.128557200527405,7945.0,9663.0,14.62,0.0,1,16,1
14,89,98.67,98.53,1927.0,0.3117076912783535,1953.0,0.19144605647249627,1412.0,1433.0,0.14,1.0,2,0,0
1,96,86.34,94.08,7419.0,0.2215099194865464,8593.0,0.1299334255601149,7159.0,8590.0,7.74,0.0,2,19,1
20,99,81.53,85.39,10941.0,0.20392043812217228,13419.0,0.13296413562070086,11253.0,13179.0,3.86,0.0,4,0,0
12,99,95.02,98.37,21353.0,0.19879151824975652,22472.0,0.12770502050055918,22392.0,22763.0,3.35,0.0,4,0,1
21,98,95.55,98.62,214551.0,0.20570295678184872,224532.0,0.13160557402206918,219206.0,222264.0,3.07,0.0,4,0,1
13,97,90.43,94.44,11497.0,0.20461904329771632,12713.0,0.13293130408183987,11794.0,12488.0,4.01,0.0,4,0,0
10,99,85.3,96.79,63490.0,0.18652088127513614,74432.0,0.12891532946498874,69852.0,74855.0,11.49,0.0,1,1,1
20,99,91.28,94.66,5275.0,0.2560694450022068,5779.0,0.16469441123627923,4539.0,4795.0,3.38,0.0,1,5,0
12,99,99.05,97.87,31724.0,0.26029512738660815,32027.0,0.15761958247261396,26941.0,27526.0,1.18,1.0,2,0,0
25,98,99.32,96.24,34774.0,0.2276300412362785,35012.0,0.13424374717956483,32849.0,34133.0,3.08,1.0,2,4,0
20,99,92.78,91.61,9138.0,0.2672891564686632,9849.0,0.16173481797322878,7596.0,8292.0,1.17,1.0,1,1,1
26,97,98.87,98.79,63485.0,0.15441630755477662,64208.0,0.09447301529703421,80155.0,81136.0,0.08,1.0,1,4,1
20,99,86.02,89.3,5273.0,0.21368754069112003,6130.0,0.13772238585804286,5232.0,5859.0,3.28,0.0,1,0,0
20,99,70.97,0.0,5675.0,0.21153529598713877,7996.0,0.12987416668191704,0.0,0.0,70.97,1.0,1,0,1
4,95,99.71,99.81,10955.0,0.2907766657118075,10987.0,0.1790564609951863,8502.0,8518.0,0.1,0.0,1,0,0
10,99,91.33,97.11,77884.0,0.15938951040551558,85275.0,0.10634620815868537,96137.0,99003.0,5.78,0.0,1,1,1
12,99,99.27,99.27,11218.0,0.26343740014954387,11300.0,0.16193872300011689,9435.0,9504.0,0.0,0.0,1,0,0
20,99,74.24,77.0,4808.0,0.19019783084924213,6476.0,0.1225055834767604,5213.0,6770.0,2.76,0.0,6,11,1
12,99,73.41,94.88,9877.0,0.1811205729528755,13454.0,0.12501082583981882,11107.0,13851.0,21.47,0.0,6,22,1
25,98,86.21,91.84,23769.0,0.2079881469789341,27572.0,0.12790944296874635,24080.0,27895.0,5.63,0.0,6,11,1
10,99,84.68,96.79,34036.0,0.14143710066883194,40193.0,0.10123075415600857,45700.0,48356.0,12.11,0.0,6,6,1
21,98,91.43,96.09,137011.0,0.18348488794333537,149859.0,0.1146934239432472,152596.0,164584.0,4.66,0.0,6,21,1
7,100,90.1,93.62,117360.0,0.19115052060770313,130250.0,0.12180903705833866,126769.0,136750.0,3.52,0.0,6,9,1
15,91,91.34,96.91,10794.0,0.19591314906935667,11818.0,0.12998910515386816,11445.0,11810.0,5.57,0.0,1,0,1
15,91,98.18,98.6,17564.0,0.3079005888398589,17890.0,0.19040540684432,13002.0,13186.0,0.42,0.0,1,0,1
12,99,98.63,97.31,20797.0,0.2397266648701038,21086.0,0.14479167646507163,18861.0,19382.0,1.32,1.0,1,1,0
12,99,74.36,94.88,6434.0,0.19976819431606843,8653.0,0.1272295847758322,6722.0,8790.0,20.52,0.0,3,10,1
21,98,90.71,96.09,190614.0,0.20536059523889227,210140.0,0.12768707788861308,194998.0,212884.0,5.38,0.0,3,10,1
13,97,80.52,90.44,5557.0,0.19827094029094838,6901.0,0.12334900216387773,5839.0,7177.0,9.92,0.0,3,10,1
12,99,99.44,97.38,11969.0,0.2533047565807447,12036.0,0.15163264004097202,10389.0,10668.0,2.06,1.0,1,0,0
20,99,88.82,88.46,9069.0,0.15287620826821874,10210.0,0.09308046582997266,11532.0,13037.0,0.36,1.0,2,0,0
12,99,98.69,98.4,12251.0,0.15435850273166135,12414.0,0.09416442712146157,15472.0,15723.0,0.29,1.0,2,0,0
10,99,94.76,96.79,72913.0,0.2550488100588101,76946.0,0.14997802192452309,62941.0,68795.0,2.03,0.0,1,0,1
12,99,98.81,99.05,11826.0,0.273605727174741,11968.0,0.16870896310038277,9646.0,9739.0,0.24,0.0,1,0,0
20,99,63.18,92.43,25381.0,1.0,40173.0,0.9210746030655627,6557.0,7094.0,29.25,0.0,1,1,1
12,99,98.97,98.73,19898.0,0.2437170470858648,20105.0,0.14929683316996534,17811.0,18040.0,0.24,1.0,1,0,0
7,100,98.03,97.61,370520.0,0.2691091367482719,377948.0,0.16455050147109448,306309.0,313815.0,0.42,1.0,1,2,1
13,97,82.55,91.69,10423.0,0.17754782185857365,12627.0,0.125348724601683,11895.0,12973.0,9.14,0.0,1,0,1
13,97,79.81,90.44,6532.0,0.21086419660530914,8184.0,0.13572956700902694,6548.0,7911.0,10.63,0.0,1,8,1
10,99,90.09,96.79,62588.0,0.23097911173906938,69473.0,0.1309185577676029,58450.0,69048.0,6.7,0.0,1,7,1
