ds,y,add_1,add_2,add_3
2020-06-13 06:30:00,1282095.0,5,0,0
2020-06-13 06:45:00,1288045.0,5,0,0
2020-06-13 07:00:00,1293733.0,5,0,0
2020-06-13 07:15:00,1299766.0,5,0,0
2020-06-13 07:30:00,1305853.0,5,0,0
2020-06-13 07:45:00,1311711.0,5,0,0
2020-06-13 08:00:00,1318230.0,5,0,0
2020-06-13 08:15:00,1324630.0,5,0,0
2020-06-13 08:30:00,1330307.0,5,0,0
2020-06-13 08:45:00,1336067.0,5,0,0
2020-06-13 09:00:00,1341976.0,5,0,0
2020-06-13 09:15:00,1347306.0,5,0,0
2020-06-13 09:30:00,1352042.0,5,0,0
2020-06-13 09:45:00,1356027.0,5,0,0
2020-06-13 10:00:00,1360135.0,5,0,0
2020-06-13 10:15:00,1363249.0,5,0,0
2020-06-13 10:30:00,1366129.0,5,0,0
2020-06-13 10:45:00,1368639.0,5,0,0
2020-06-13 11:00:00,1370966.0,5,0,0
2020-06-13 11:15:00,1372698.0,5,0,0
2020-06-13 11:30:00,1374271.0,5,0,0
2020-06-13 11:45:00,1375475.0,5,0,0
2020-06-13 12:00:00,1376351.0,5,0,0
2020-06-13 12:15:00,1377627.0,5,0,0
2020-06-13 12:30:00,1378702.0,5,0,0
2020-06-13 12:45:00,1379659.0,5,0,0
2020-06-13 13:00:00,1381225.0,5,0,0
2020-06-13 13:15:00,1382469.0,5,0,0
2020-06-13 13:30:00,1382177.0,5,0,0
2020-06-13 13:45:00,1382365.0,5,0,0
2020-06-13 14:00:00,1382329.0,5,0,0
2020-06-13 14:15:00,1382349.0,5,0,0
2020-06-13 14:30:00,1382577.0,5,0,0
2020-06-13 14:45:00,1383177.0,5,0,0
2020-06-13 15:00:00,1383197.0,5,0,0
2020-06-13 15:15:00,1383129.0,5,0,0
2020-06-13 15:30:00,1383612.0,5,0,0
2020-06-13 15:45:00,1384072.0,5,0,0
2020-06-13 16:00:00,1384877.0,5,0,0
2020-06-13 16:15:00,1385901.0,5,0,0
2020-06-13 16:30:00,1386734.0,5,0,0
2020-06-13 16:45:00,1386473.0,5,0,0
2020-06-13 17:00:00,1387252.0,5,0,0
2020-06-13 17:15:00,1387858.0,5,0,0
2020-06-13 17:30:00,1388072.0,5,0,0
2020-06-13 17:45:00,1388358.0,5,0,0
2020-06-13 18:00:00,1389736.0,5,0,0
2020-06-13 18:15:00,1389990.0,5,0,0
2020-06-13 18:30:00,1390159.0,5,0,0
2020-06-13 18:45:00,1390206.0,5,0,0
2020-06-13 19:00:00,1390126.0,5,0,0
2020-06-13 19:15:00,1390147.0,5,0,0
2020-06-13 19:30:00,1389907.0,5,0,0
2020-06-13 19:45:00,1389490.0,5,0,0
2020-06-13 20:00:00,1388771.0,5,0,0
2020-06-13 20:15:00,1388294.0,5,0,0
2020-06-13 20:30:00,1387308.0,5,0,0
2020-06-13 20:45:00,1386397.0,5,0,0
2020-06-13 21:00:00,1384869.0,5,0,0
2020-06-13 21:15:00,1382722.0,5,0,0
2020-06-13 21:30:00,1380525.0,5,0,0
2020-06-13 21:45:00,1377380.0,5,0,0
2020-06-13 22:00:00,1373257.0,5,0,0
2020-06-13 22:15:00,1368511.0,5,0,0
2020-06-13 22:30:00,1362870.0,5,0,0
2020-06-13 22:45:00,1356541.0,5,0,0
2020-06-13 23:00:00,1349439.0,5,0,0
2020-06-13 23:15:00,1342119.0,5,0,0
2020-06-13 23:30:00,1334333.0,5,0,0
